state,state_latitude,state_longitude,district,district_latitude,district_longitude,township,township_latitude,township_longitude,city,city_latitude,city_longitude,village,village_latitude,village_longitude,ward,ward_latitude,ward_longitude
မကွေးတိုင်းဒေသကြီး,20.815,94.85,သရက်ခရိုင်,19.417,95.089,မင်းတုန်းမြို့နယ်,19.35131067,94.73233488,မင်းတုန်းမြို့,19.35131067,94.73233488,​ကျောက်ပြုတ်ရွာ,19.41997337,94.81808472,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကျုံပျော်မြို့နယ်,17.3,95.2,ကျုံပျော်မြို့,17.3,95.2,​ကျောက်ပုန်းရွာ,17.183106,95.366471,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ကျုံပျော်မြို့နယ်,17.3,95.2,ကျုံပျော်မြို့,17.3,95.2,​ကျောက်ပုန်းရွာ,17.18421829,95.36396526,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ပုသိမ်မြို့နယ်,16.7838,94.5765,ချောင်းသာမြို့,16.9597,94.4447,​ကျောက်ပုန်းရွာ,16.84656906,94.79231262,,,
ရန်ကုန်တိုင်းဒေသကြီး,16.797,96.158,ရန်ကုန်မြောက်ပိုင်းခရိုင်,17.2661,96.0095,မှော်ဘီမြို့နယ်,17.09987,96.0418,မှော်ဘီမြို့,17.09987,96.0418,​ကျောက်ပုန်းရွာ,17.07920074,96.05809784,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,ပုသိမ်ခရိုင်,16.7838,94.5765,ငပုတောမြို့နယ်,16.3923,94.5058,ငရုတ်ကောင်းမြို့,16.52089,94.3019,​ကျောက်ဖျာရွာ,16.5376091,94.26846313,,,
ဧရာဝတီတိုင်းဒေသကြီး,17.092,95.14,လပ္ပတ္တာခရိုင်,16.14557,94.75889,လပ္ပတ္တာမြို့နယ်,16.14557,94.75889,လပွတ္တာမြို့,16.14557,94.75889,​ကျောက်ဖျာလေးရွာ,16.34135056,94.85066223,,,
မန္တလေးတိုင်းဒေသကြီး,21.946,95.861,ပြင်ဦးလွင်ခရိုင်,21.799,96.303,သပိတ်ကျင်းမြို့နယ်,22.88593,95.97525,သပိတ်ကျင်းမြို့,22.88593,95.97525,​ကျောက်ဖြာရွာ,22.83564949,96.09348297,,,
မကွေးတိုင်းဒေသကြီး,20.815,94.85,မင်းဘူးခရိုင်,20.3092,94.411,စေတုတ္ထရာမြို့နယ်,20.4466,94.24559,စေတုတ္ထရာမြို့,20.4466,94.24559,​ကျောက်ဖူးရွာ,20.38862228,94.25482178,,,
မကွေးတိုင်းဒေသကြီး,20.815,94.85,မင်းဘူးခရိုင်,20.3092,94.411,စေတုတ္ထရာမြို့နယ်,20.4466,94.24559,စေတုတ္ထရာမြို့,20.4466,94.24559,​ကျောက်မွဲရွာ,20.50979996,94.30695343,,,
